,ENGINE_COOLANT_TEMP,AMBIENT_AIR_TEMP,ENGINE_LOAD,MAF,THROTTLE_POS,SPEED,ENGINE_RPM,FUEL_LEVEL,LOG_ENGINE_RPM,LOG_MAF
0,95.0,4.0,42.0,4.73,21.6,0.0,807,56.1,6.693323669509106,1.5539254139203098
1,94.0,4.0,50.6,11.51,29.8,9.0,1559,56.1,7.351799869699214,2.4432163096147606
2,93.0,4.0,41.2,10.29,29.0,10.0,1692,56.9,7.433666540757185,2.331172647027683
3,91.0,4.0,55.7,7.25,25.9,11.0,863,56.9,6.760414692242176,1.9810016067976084
4,90.0,4.0,69.8,9.2,27.5,8.0,955,57.3,6.861711341527851,2.219203592750641
5,90.0,4.0,26.3,9.39,29.8,9.0,777,58.0,6.655440351654649,2.2396453997164385
6,89.0,4.0,49.4,16.1,31.8,12.0,2106,60.0,7.652545693168754,2.778819334102217
7,89.0,4.0,62.4,9.48,28.2,15.0,1080,60.0,6.984716321044192,2.249184421752157
8,89.0,4.0,61.2,12.41,30.2,20.0,1384,60.4,7.232733136900158,2.51850267979669
9,89.0,4.0,56.5,14.34,31.0,18.0,1727,60.8,7.454141078725717,2.6630529049064786
10,89.0,4.0,61.2,8.45,27.1,20.0,934,60.4,6.839476439299506,2.1341665597122708
11,89.0,4.0,63.5,9.5,28.2,23.0,1040,60.0,6.946975993096957,2.2512919038696473
12,89.0,4.0,57.3,10.11,28.6,28.0,1204,59.6,7.093404626699331,2.3135251319443433
13,89.0,4.0,54.1,11.63,29.8,33.0,1464,59.6,7.288927695204317,2.453588052515092
14,88.0,4.0,21.6,3.81,19.2,34.0,1098,58.4,7.001245622980223,1.3376294516057667
15,85.0,4.0,38.0,8.33,26.7,31.0,1486,56.5,7.3038432259506525,2.1198635762267632
16,85.0,4.0,36.9,8.52,27.1,32.0,1569,56.5,7.358193753370381,2.1424164582121095
17,84.0,4.0,30.2,7.09,25.5,32.0,1579,56.1,7.364547014888954,1.9586854815877497
18,84.0,4.0,31.8,7.1,25.5,32.0,1572,56.1,7.360103973625284,1.9600949248923303
19,83.0,4.0,32.2,7.48,25.9,32.0,1570,55.7,7.3588308989792965,2.0122329256762166
20,83.0,4.0,32.2,7.6,26.3,35.0,1628,55.7,7.395107547176736,2.028148378871224
21,83.0,4.0,22.4,4.37,22.0,36.0,1704,55.7,7.440733707976116,1.4747632379404245
22,82.0,4.0,20.0,3.26,19.2,37.0,1204,55.7,7.093404626699331,1.1817275021270355
23,82.0,4.0,18.8,3.59,20.4,36.0,1256,55.7,7.135687347824322,1.2781524810516807
24,81.0,4.0,22.0,3.57,19.2,32.0,1108,55.3,7.010311868209756,1.2725658759035532
25,81.0,4.0,50.2,7.71,26.7,33.0,1078,55.3,6.982862752396587,2.0425183172769157
26,81.0,4.0,49.4,7.81,26.7,32.0,1092,55.3,6.995766157220602,2.0554050918925593
27,81.0,4.0,23.5,3.46,18.8,24.0,924,55.3,6.828712072723936,1.241268878086932
28,81.0,4.0,60.4,10.3,29.0,28.0,1212,54.9,7.100027167454343,2.332143992322964
29,80.0,4.0,58.4,12.06,30.2,33.0,1443,55.3,7.274479559466871,2.4898942742177756
30,80.0,4.0,38.8,6.32,24.7,34.0,1097,55.3,7.0003344611868075,1.8437193663866016
31,80.0,4.0,44.7,7.18,25.9,34.0,1134,55.3,7.033506485169531,1.9712995223358891
32,80.0,4.0,44.7,7.12,25.5,34.0,1124,55.3,7.0246490313433165,1.9629078658733128
33,81.0,4.0,43.1,7.39,26.3,27.0,1251,55.3,7.131698511266272,2.0001278702780985
34,81.0,4.0,69.0,14.05,31.0,29.0,1380,55.7,7.229838778875888,2.6426224669541294
35,81.0,4.0,76.1,16.44,32.2,30.0,1481,56.5,7.300472814943018,2.7997174504552826
36,81.0,4.0,76.9,17.29,32.5,30.0,1484,57.6,7.3024964244011805,2.8501283575320975
37,81.0,4.0,77.6,17.64,32.5,31.0,1561,58.8,7.353081921156047,2.8701691072679862
38,81.0,4.0,68.2,13.69,29.8,25.0,1540,59.2,7.339537696057025,2.6166657123463737
39,82.0,4.0,18.8,3.25,18.8,19.0,1091,59.2,6.994849986749661,1.1786553040339065
40,82.0,4.0,74.1,10.73,29.8,27.0,980,58.8,6.887552572685026,2.3730436498392478
41,82.0,4.0,48.6,8.62,25.9,31.0,1414,58.8,7.2541778471637315,2.1540852006848756
42,82.0,4.0,19.6,3.17,18.8,34.0,1060,58.4,6.966024188049509,1.1537319033465527
43,82.0,4.0,22.7,3.58,19.6,37.0,1156,58.0,7.052721050097375,1.2753630797421789
44,82.0,4.0,19.2,3.54,20.4,39.0,1245,57.3,7.1268908097020205,1.264127009631519
45,82.0,4.0,19.2,3.73,20.8,39.0,1321,56.9,7.186144305279328,1.316408501752203
46,82.0,4.0,19.2,3.54,20.4,33.0,1260,56.5,7.138867000739174,1.264127009631519
47,82.0,4.0,14.1,2.74,18.8,34.0,996,56.1,6.903747258588615,1.0079582853634161
48,82.0,4.0,26.3,3.56,19.2,33.0,930,56.1,6.83518458722257,1.2697608257627762
49,82.0,4.0,26.3,3.37,19.2,32.0,901,55.7,6.803505258718216,1.2149130411001314
50,82.0,4.0,28.2,3.41,19.2,32.0,879,55.7,6.778784898822834,1.2267125845505145
51,82.0,4.0,27.1,3.5,19.2,32.0,889,55.7,6.790097236638764,1.252763254209613
52,82.0,4.0,28.6,3.0,19.6,31.0,796,55.7,6.679599187100664,1.0986126220013874
53,82.0,4.0,92.5,14.61,32.2,32.0,1071,56.1,6.976348071381456,2.681706294208875
54,82.0,4.0,18.0,3.84,21.6,25.0,1514,56.5,7.322510434657896,1.3454726270162682
55,82.0,4.0,40.8,4.36,20.8,0.0,788,55.3,6.669498091126915,1.472472286718715
56,82.0,4.0,36.9,4.38,20.4,0.0,818,54.9,6.706862337825241,1.477048952698831
57,82.0,4.0,37.3,4.07,20.4,0.0,814,54.5,6.701960367231042,1.4036432451547192
58,82.0,4.0,37.3,4.1,20.4,0.0,792,54.5,6.674561393077052,1.4109872176126714
